,time,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,total load actual
25,2015-01-02 00:00:00+00:00,368.0,320.16438356164383,2902.0,1190.0,192.0,1996.0,1263.0,2996.0,7106.0,45.0,61.0,54.0,167.0,12760.0,24935.0
26,2015-01-02 01:00:00+00:00,358.0,320.24657534246575,2772.0,1023.0,189.0,2698.0,1246.0,2581.0,7107.0,44.0,60.0,54.0,167.0,12174.0,23214.0
27,2015-01-02 02:00:00+00:00,353.0,320.32876712328766,2936.0,1016.0,188.0,3269.0,1248.0,2933.0,7107.0,44.0,59.0,53.0,181.0,11358.0,22540.0
28,2015-01-02 03:00:00+00:00,354.0,320.4109589041096,2893.0,1103.0,189.0,3267.0,1233.0,2646.0,7106.0,44.0,61.0,53.0,181.0,11199.0,22096.0
29,2015-01-02 04:00:00+00:00,354.0,320.4931506849315,2889.0,1120.0,190.0,3258.0,1225.0,2529.0,7105.0,44.0,59.0,63.0,171.0,11152.0,22066.0
30,2015-01-02 05:00:00+00:00,357.0,320.5753424657534,2898.0,1167.0,189.0,3256.0,1241.0,2658.0,7105.0,44.0,60.0,55.0,185.0,11169.0,22275.0
31,2015-01-02 06:00:00+00:00,357.0,320.6575342465753,2938.0,1067.0,194.0,2987.0,1247.0,2706.0,7105.0,44.0,60.0,54.0,186.0,11205.0,23025.0
32,2015-01-02 07:00:00+00:00,359.0,320.73972602739724,2869.0,1098.0,196.0,2447.0,1274.0,3090.0,7105.0,44.0,59.0,116.0,183.0,10920.0,23699.0
33,2015-01-02 08:00:00+00:00,357.0,320.82191780821915,3090.0,1293.0,193.0,1907.0,1297.0,3579.0,7107.0,44.0,59.0,1039.0,188.0,10491.0,25834.0
34,2015-01-02 09:00:00+00:00,377.0,320.90410958904107,2844.0,1339.0,200.0,938.0,1319.0,4289.0,7107.0,45.0,60.0,2373.0,185.0,10156.0,27927.0
35,2015-01-02 10:00:00+00:00,376.0,320.986301369863,2699.0,1335.0,199.0,747.0,1333.0,4332.0,7106.0,44.0,59.0,3699.0,181.0,10421.0,29072.0
36,2015-01-02 11:00:00+00:00,376.0,321.06849315068496,2606.0,1336.0,197.0,864.0,1324.0,3619.0,7104.0,44.0,60.0,4154.0,177.0,11230.0,29071.0
37,2015-01-02 12:00:00+00:00,373.0,321.1506849315069,2662.0,1341.0,208.0,906.0,1281.0,3392.0,7105.0,44.0,61.0,4074.0,183.0,11920.0,29439.0
38,2015-01-02 13:00:00+00:00,383.0,321.2328767123288,2729.0,1354.0,195.0,1047.0,1281.0,3487.0,7105.0,44.0,58.0,3851.0,190.0,11819.0,29241.0
39,2015-01-02 14:00:00+00:00,391.0,321.3150684931507,2599.0,1298.0,195.0,1491.0,1284.0,2984.0,7105.0,44.0,57.0,3619.0,188.0,11961.0,27973.0
40,2015-01-02 15:00:00+00:00,395.0,321.3972602739726,2996.0,1184.0,195.0,1975.0,1283.0,3104.0,7106.0,44.0,59.0,3024.0,188.0,12025.0,27320.0
41,2015-01-02 16:00:00+00:00,394.0,321.47945205479454,3696.0,1047.0,195.0,1760.0,1295.0,3102.0,7105.0,44.0,59.0,2053.0,185.0,12077.0,27157.0
42,2015-01-02 17:00:00+00:00,410.0,321.56164383561645,4760.0,1178.0,199.0,595.0,1324.0,3886.0,7106.0,44.0,64.0,769.0,178.0,11276.0,29045.0
43,2015-01-02 18:00:00+00:00,435.0,321.64383561643837,6030.0,1345.0,205.0,78.0,1352.0,5553.0,7104.0,44.0,68.0,266.0,199.0,10510.0,31967.0
44,2015-01-02 19:00:00+00:00,435.0,321.7260273972603,5973.0,1354.0,214.0,68.0,1369.0,5604.0,7106.0,44.0,69.0,165.0,203.0,10406.0,33266.0
45,2015-01-02 20:00:00+00:00,437.0,321.8082191780822,6082.0,1348.0,215.0,68.0,1370.0,5902.0,7107.0,45.0,69.0,137.0,204.0,10445.0,33668.0
46,2015-01-02 21:00:00+00:00,437.0,321.8904109589041,5747.0,1429.0,217.0,68.0,1365.0,5347.0,7107.0,45.0,66.0,137.0,204.0,9976.0,32426.0
47,2015-01-02 22:00:00+00:00,443.0,321.972602739726,4177.0,1432.0,220.0,68.0,1323.0,4969.0,7108.0,45.0,64.0,137.0,203.0,9527.0,29705.0
48,2015-01-02 23:00:00+00:00,478.0,322.05479452054794,3801.0,1798.0,246.0,502.0,1423.0,3719.0,7096.0,78.0,76.0,62.0,201.0,9264.0,25564.0
49,2015-01-03 00:00:00+00:00,463.0,322.13698630136986,3812.0,1351.0,245.0,1048.0,1392.0,3482.0,7095.0,78.0,68.0,62.0,198.0,9135.0,23584.0
50,2015-01-03 01:00:00+00:00,452.0,322.2191780821918,3745.0,1258.0,244.0,1880.0,1296.0,3060.0,7096.0,79.0,66.0,61.0,201.0,9362.0,22194.0
51,2015-01-03 02:00:00+00:00,454.0,322.3013698630137,3638.0,1196.0,244.0,2441.0,1245.0,2474.0,7098.0,79.0,68.0,61.0,208.0,9628.0,21296.0
52,2015-01-03 03:00:00+00:00,449.0,322.3835616438356,3515.0,1138.0,202.0,2767.0,1221.0,2266.0,7097.0,78.0,67.0,61.0,201.0,9607.0,21145.0
53,2015-01-03 04:00:00+00:00,453.0,322.4657534246575,3626.0,1180.0,189.0,2953.0,1212.0,2449.0,7098.0,79.0,66.0,61.0,188.0,9666.0,21316.0
54,2015-01-03 05:00:00+00:00,458.0,322.54794520547944,3556.0,1246.0,188.0,2744.0,1215.0,2620.0,7099.0,77.0,68.0,61.0,187.0,9743.0,21674.0
55,2015-01-03 06:00:00+00:00,452.0,322.63013698630135,3524.0,1175.0,190.0,2279.0,1295.0,2559.0,7098.0,77.0,67.0,63.0,186.0,9401.0,22127.0
56,2015-01-03 07:00:00+00:00,438.0,322.71232876712327,4000.0,1249.0,190.0,2152.0,1295.0,3335.0,7097.0,77.0,66.0,233.0,186.0,8363.0,22756.0
57,2015-01-03 08:00:00+00:00,433.0,322.7945205479452,4157.0,1415.0,226.0,1081.0,1380.0,4229.0,7097.0,76.0,68.0,820.0,197.0,7924.0,24654.0
58,2015-01-03 09:00:00+00:00,419.0,322.8767123287671,3960.0,1597.0,249.0,341.0,1421.0,4827.0,7097.0,76.0,68.0,1665.0,205.0,7592.0,26454.0
59,2015-01-03 10:00:00+00:00,431.0,322.958904109589,3622.0,1569.0,250.0,325.0,1424.0,4429.0,7093.0,76.0,71.0,2488.0,202.0,7874.0,26959.0
60,2015-01-03 11:00:00+00:00,425.0,323.041095890411,3138.0,1379.0,247.0,409.0,1417.0,4309.0,7094.0,76.0,64.0,3218.0,202.0,8192.0,26716.0
61,2015-01-03 12:00:00+00:00,427.0,323.1232876712329,3113.0,1193.0,249.0,1095.0,1390.0,3784.0,7095.0,76.0,64.0,3695.0,208.0,8718.0,26802.0
62,2015-01-03 13:00:00+00:00,421.0,323.2054794520548,3114.0,1155.0,248.0,1750.0,1285.0,3709.0,7093.0,77.0,64.0,3780.0,210.0,9152.0,26416.0
63,2015-01-03 14:00:00+00:00,410.0,323.28767123287673,2982.0,1137.0,206.0,2141.0,1277.0,3320.0,7092.0,76.0,62.0,3370.0,202.0,9382.0,25362.0
64,2015-01-03 15:00:00+00:00,397.0,323.36986301369865,2987.0,1205.0,190.0,2175.0,1279.0,3919.0,7092.0,76.0,61.0,2692.0,200.0,9307.0,24770.0
65,2015-01-03 16:00:00+00:00,393.0,323.45205479452056,3169.0,1289.0,190.0,1936.0,1302.0,4256.0,7095.0,77.0,59.0,1931.0,201.0,8892.0,24501.0
66,2015-01-03 17:00:00+00:00,418.0,323.5342465753425,3221.0,1399.0,218.0,1271.0,1478.0,4812.0,7094.0,78.0,62.0,1015.0,212.0,8568.0,24992.0
67,2015-01-03 18:00:00+00:00,458.0,323.6164383561644,3033.0,1539.0,243.0,129.0,1544.0,5753.0,7094.0,79.0,66.0,502.0,222.0,9005.0,27964.0
68,2015-01-03 19:00:00+00:00,462.0,323.6986301369863,3136.0,1555.0,244.0,125.0,1583.0,5946.0,7096.0,81.0,67.0,355.0,221.0,9672.0,29694.0
69,2015-01-03 20:00:00+00:00,462.0,323.7808219178082,3061.0,1507.0,245.0,121.0,1572.0,5985.0,7095.0,82.0,69.0,291.0,221.0,10081.0,29874.0
70,2015-01-03 21:00:00+00:00,463.0,323.86301369863014,3224.0,1441.0,247.0,117.0,1546.0,5519.0,7094.0,82.0,71.0,207.0,219.0,10537.0,28979.0
71,2015-01-03 22:00:00+00:00,456.0,323.94520547945206,3529.0,1291.0,248.0,587.0,1502.0,4505.0,7094.0,83.0,70.0,117.0,217.0,10953.0,26863.0
72,2015-01-03 23:00:00+00:00,391.0,324.027397260274,3981.0,2559.0,323.0,1045.0,1502.0,1991.0,7086.0,81.0,58.0,692.0,162.0,8540.0,25254.0
73,2015-01-04 00:00:00+00:00,351.0,324.1095890410959,3997.0,2755.0,310.0,1257.0,1494.0,1867.0,7087.0,81.0,58.0,684.0,160.0,8080.0,23620.0
74,2015-01-04 01:00:00+00:00,350.0,324.1917808219178,3787.0,2678.0,306.0,1629.0,1484.0,1414.0,7086.0,81.0,57.0,648.0,161.0,7773.0,22606.0
75,2015-01-04 02:00:00+00:00,366.0,324.2739726027397,3724.0,2426.0,311.0,1962.0,1472.0,1355.0,7086.0,82.0,56.0,640.0,162.0,7601.0,22191.0
76,2015-01-04 03:00:00+00:00,377.0,324.35616438356163,3578.0,2046.0,310.0,2185.0,1438.0,1431.0,7087.0,82.0,56.0,563.0,161.0,7584.0,21929.0
77,2015-01-04 04:00:00+00:00,372.0,324.43835616438355,3676.0,2248.0,310.0,1795.0,1457.0,1534.0,7086.0,82.0,58.0,372.0,157.0,7812.0,22195.0
78,2015-01-04 05:00:00+00:00,377.0,324.52054794520546,3702.0,2148.0,320.0,1341.0,1352.0,2284.0,7085.0,82.0,54.0,179.0,155.0,7950.0,24035.0
79,2015-01-04 06:00:00+00:00,396.0,324.6027397260274,3569.0,2100.0,325.0,378.0,1433.0,3188.0,7086.0,82.0,56.0,129.0,156.0,8228.0,26807.0
80,2015-01-04 07:00:00+00:00,415.0,324.6849315068493,3314.0,2143.0,359.0,257.6666666666667,1561.0,3521.0,7080.0,83.0,53.0,357.0,156.0,8341.0,28316.0
81,2015-01-04 08:00:00+00:00,418.0,324.7671232876712,3183.0,2244.0,368.0,137.33333333333334,1573.0,4286.0,7080.0,84.0,54.0,1634.0,159.0,8569.0,29871.0
82,2015-01-04 09:00:00+00:00,402.0,324.8493150684931,3168.0,2209.0,370.0,17.0,1451.0,3921.0,7079.0,85.0,55.0,3830.0,162.0,8433.0,30585.0
83,2015-01-04 10:00:00+00:00,411.0,324.93150684931504,3207.0,2303.0,371.0,119.0,1519.0,4023.0,7083.0,84.0,60.0,4937.0,161.0,8001.0,30772.0
84,2015-01-04 11:00:00+00:00,403.0,325.013698630137,3279.0,2307.0,371.0,72.0,1533.0,3997.0,7085.0,85.0,57.0,5302.0,165.0,7520.0,30685.0
85,2015-01-04 12:00:00+00:00,407.0,325.09589041095893,3295.0,2353.0,362.0,69.0,1591.0,3760.0,7087.0,86.0,58.0,5590.0,158.0,7274.0,30429.0
86,2015-01-04 13:00:00+00:00,393.0,325.17808219178085,3141.0,2324.0,369.0,69.0,1529.0,3077.0,7085.0,85.0,60.0,5668.0,150.0,6878.0,28741.0
87,2015-01-04 14:00:00+00:00,400.0,325.26027397260276,3118.0,2164.0,365.0,69.0,1495.0,2602.0,7083.0,85.0,59.0,5593.0,149.0,7517.0,28249.0
88,2015-01-04 15:00:00+00:00,397.0,325.3424657534247,3131.0,2049.0,374.0,112.0,1459.0,2553.0,7080.0,85.0,57.0,5316.0,147.0,7999.0,28105.0
89,2015-01-04 16:00:00+00:00,393.0,325.4246575342466,3303.0,2104.0,383.0,251.0,1435.0,2925.0,7079.0,87.0,59.0,4907.0,152.0,8181.0,27908.0
90,2015-01-04 17:00:00+00:00,402.0,325.5068493150685,3368.0,2098.0,381.0,506.0,1435.0,3446.0,7078.0,84.0,61.0,4200.0,153.0,8260.0,27577.0
91,2015-01-04 18:00:00+00:00,409.0,325.5890410958904,3434.0,2075.0,383.0,789.0,1458.0,4365.0,7080.0,84.0,59.0,2911.0,150.0,8156.0,27418.0
92,2015-01-04 19:00:00+00:00,438.0,325.67123287671234,3604.0,2162.0,385.0,416.0,1538.0,5936.0,7082.0,85.0,59.0,1392.0,170.0,8347.0,28604.0
93,2015-01-04 20:00:00+00:00,436.0,325.75342465753425,3874.0,2445.0,389.0,303.6666666666667,1616.0,5856.0,7084.0,85.0,57.0,748.0,177.0,8875.0,30346.0
94,2015-01-04 21:00:00+00:00,424.0,325.83561643835617,3447.0,2169.0,394.0,191.33333333333334,1594.0,4684.0,7085.0,85.0,59.0,696.0,174.0,8922.0,28190.0
95,2015-01-04 22:00:00+00:00,403.0,325.9178082191781,3390.0,1770.0,391.0,79.0,1467.0,3776.0,7088.0,84.0,59.0,672.0,166.0,8735.0,26270.0
96,2015-01-04 23:00:00+00:00,373.0,326.0,5338.0,4247.0,352.0,650.0,1182.0,2086.0,4036.0,41.0,72.0,691.0,158.0,7351.0,25069.0
97,2015-01-05 00:00:00+00:00,363.0,104.0,5352.0,3112.0,310.0,938.0,1099.0,2458.0,4029.0,41.0,74.0,668.0,153.0,7403.0,23390.0
98,2015-01-05 01:00:00+00:00,359.0,136.47826086956522,4791.0,2580.0,311.0,1021.0,1076.0,2140.0,4028.0,38.0,75.0,662.0,156.0,7887.0,21988.0
99,2015-01-05 02:00:00+00:00,346.5,168.95652173913044,4590.5,2576.5,309.5,1544.0,1029.0,2335.5,4029.0,38.0,73.0,616.0,155.5,8117.5,21182.0
100,2015-01-05 03:00:00+00:00,334.0,201.43478260869566,4390.0,2573.0,308.0,2067.0,982.0,2531.0,4030.0,38.0,71.0,570.0,155.0,8348.0,20778.0
101,2015-01-05 04:00:00+00:00,338.0,233.91304347826087,4108.0,2551.0,300.0,2228.0,969.0,2439.0,4031.0,38.0,72.0,428.0,153.0,8526.0,20309.0
102,2015-01-05 05:00:00+00:00,341.0,266.3913043478261,4396.0,2351.0,291.0,2365.0,967.0,2583.0,4031.0,38.0,73.0,243.0,152.0,8518.0,20252.0
103,2015-01-05 06:00:00+00:00,343.0,298.8695652173913,4227.0,2202.0,301.0,2321.0,1087.0,2740.0,4031.0,39.0,74.0,155.0,143.0,8263.0,19964.0
104,2015-01-05 07:00:00+00:00,345.0,331.3478260869565,4017.0,2138.0,317.0,2071.0,1110.0,2480.0,4030.0,38.0,74.0,500.0,143.0,8326.0,20796.0
105,2015-01-05 08:00:00+00:00,369.0,363.82608695652175,4243.0,2239.0,331.0,1465.0,1168.0,2575.0,4028.0,38.0,76.0,1333.0,140.0,8046.0,22478.0
106,2015-01-05 09:00:00+00:00,374.0,396.304347826087,3993.0,2545.0,337.0,1216.0,1207.0,2286.0,4011.0,37.0,74.0,2482.0,140.0,8439.0,23834.0
107,2015-01-05 10:00:00+00:00,376.0,428.7826086956522,3900.0,2422.0,333.0,1166.0,1206.0,2209.0,3829.0,37.0,74.0,3339.0,155.0,9131.0,24429.0
108,2015-01-05 11:00:00+00:00,375.14285714285717,461.2608695652174,3914.714285714286,2392.714285714286,333.42857142857144,1176.857142857143,1207.857142857143,2201.4285714285716,3812.285714285714,37.714285714285715,73.57142857142857,3282.5714285714284,154.0,8888.142857142857,24066.0
109,2015-01-05 12:00:00+00:00,374.2857142857143,493.7391304347826,3929.4285714285716,2363.4285714285716,333.85714285714283,1187.7142857142858,1209.7142857142858,2193.8571428571427,3795.5714285714284,38.42857142857143,73.14285714285714,3226.1428571428573,153.0,8645.285714285714,23703.0
110,2015-01-05 13:00:00+00:00,373.42857142857144,526.2173913043479,3944.1428571428573,2334.1428571428573,334.2857142857143,1198.5714285714287,1211.5714285714287,2186.285714285714,3778.8571428571427,39.142857142857146,72.71428571428571,3169.714285714286,152.0,8402.42857142857,23340.0
111,2015-01-05 14:00:00+00:00,372.57142857142856,558.695652173913,3958.8571428571427,2304.8571428571427,334.7142857142857,1209.4285714285713,1213.4285714285713,2178.714285714286,3762.1428571428573,39.857142857142854,72.28571428571429,3113.285714285714,151.0,8159.571428571428,22977.0
112,2015-01-05 15:00:00+00:00,371.7142857142857,591.1739130434783,3973.5714285714284,2275.5714285714284,335.14285714285717,1220.2857142857142,1215.2857142857142,2171.1428571428573,3745.4285714285716,40.57142857142857,71.85714285714286,3056.8571428571427,150.0,7916.714285714286,22614.0
113,2015-01-05 16:00:00+00:00,370.85714285714283,623.6521739130435,3988.285714285714,2246.285714285714,335.57142857142856,1231.142857142857,1217.142857142857,2163.5714285714284,3728.714285714286,41.285714285714285,71.42857142857143,3000.4285714285716,149.0,7673.857142857143,22251.0
114,2015-01-05 17:00:00+00:00,370.0,656.1304347826087,4003.0,2217.0,336.0,1242.0,1219.0,2156.0,3712.0,42.0,71.0,2944.0,148.0,7431.0,21888.0
115,2015-01-05 18:00:00+00:00,375.0,688.608695652174,4181.0,2541.0,333.0,651.0,1260.0,1843.0,3743.0,42.0,75.0,1971.0,147.0,6570.0,22048.0
116,2015-01-05 19:00:00+00:00,371.0,721.0869565217391,4607.0,2509.0,334.0,108.0,1308.0,2291.0,3773.0,43.0,73.0,958.0,153.0,5549.0,22858.0
117,2015-01-05 20:00:00+00:00,370.0,753.5652173913044,5329.0,2804.0,326.0,76.5,1328.0,3732.0,3803.0,42.0,74.0,605.0,161.0,4979.0,25604.0
118,2015-01-05 21:00:00+00:00,362.0,786.0434782608696,5682.0,2891.0,334.0,45.0,1328.0,3613.0,3834.0,43.0,75.0,518.0,161.0,4822.0,25381.0
119,2015-01-05 22:00:00+00:00,370.0,818.5217391304348,5699.0,2958.0,328.0,193.0,1318.0,3044.0,3868.0,45.0,72.0,394.0,158.0,4982.0,23822.0
120,2015-01-05 23:00:00+00:00,535.0,851.0,4359.0,5130.0,257.0,99.0,767.0,1218.0,4826.0,85.0,66.0,626.0,212.0,4052.0,23711.0
121,2015-01-06 00:00:00+00:00,532.0,742.0,4502.0,4990.0,258.0,693.0,737.0,1620.0,4828.0,85.0,63.0,624.0,208.0,3832.0,22354.0
122,2015-01-06 01:00:00+00:00,530.0,829.0,4393.0,5207.0,266.0,1000.0,728.0,1862.0,4830.0,86.0,63.0,616.0,204.0,3398.0,21546.0
123,2015-01-06 02:00:00+00:00,532.0,784.0,4386.0,5418.0,262.0,1053.0,727.0,1834.0,4846.0,85.0,65.0,582.0,206.0,3003.0,21171.0
124,2015-01-06 03:00:00+00:00,541.0,802.0,4453.0,5497.0,266.0,1052.0,727.0,1758.0,4895.0,85.0,66.0,576.0,206.0,2569.0,21042.0
125,2015-01-06 04:00:00+00:00,545.0,856.0,4589.0,5753.0,263.0,1016.0,720.0,1793.0,4903.0,85.0,64.0,499.0,204.0,2380.0,21618.0
126,2015-01-06 05:00:00+00:00,540.0,904.0,4818.0,6154.0,257.0,323.0,720.0,1435.0,4911.0,85.0,63.0,415.0,202.0,2196.0,23433.0
127,2015-01-06 06:00:00+00:00,546.0,937.0,4862.0,6527.0,283.0,17.0,779.0,2369.0,4924.0,85.0,63.0,412.0,184.0,1701.0,25885.0
128,2015-01-06 07:00:00+00:00,546.0,959.0,5143.0,6774.0,343.0,25.666666666666664,842.0,3860.0,4930.0,86.0,63.0,1168.0,196.0,1102.0,28456.0
129,2015-01-06 08:00:00+00:00,544.0,980.0,4842.0,6973.0,368.0,34.33333333333333,852.0,4119.0,4942.0,83.0,64.0,3018.0,262.0,682.0,29708.0
130,2015-01-06 09:00:00+00:00,543.0,978.0,4604.0,7101.0,361.0,43.0,895.0,4449.0,4952.0,87.0,64.0,4129.0,268.0,470.0,30887.0
131,2015-01-06 10:00:00+00:00,539.0,977.0,4475.0,7198.0,351.0,51.666666666666664,899.0,4584.0,4950.0,87.0,63.0,4642.0,260.0,472.0,31409.0
132,2015-01-06 11:00:00+00:00,547.0,974.0,4376.0,7215.0,349.0,60.33333333333333,898.0,4579.0,4956.0,84.0,62.0,4976.0,259.0,683.0,31947.0
133,2015-01-06 12:00:00+00:00,538.0,969.0,4512.0,7210.0,356.0,69.0,901.0,4335.0,4959.0,86.0,61.0,5044.0,260.0,1041.0,32078.0
134,2015-01-06 13:00:00+00:00,534.0,962.0,4178.0,7159.0,365.0,77.66666666666666,857.0,4167.0,4953.0,85.0,68.0,4887.0,258.0,1652.0,31193.0
135,2015-01-06 14:00:00+00:00,537.0,965.0,4035.0,7067.0,366.0,86.33333333333333,813.0,3084.0,4956.0,86.0,69.0,4641.0,254.0,2761.0,30542.0
136,2015-01-06 15:00:00+00:00,537.0,887.0,3821.0,6830.0,364.0,95.0,825.0,3290.0,4955.0,88.0,66.0,4279.0,251.0,3277.0,30591.0
137,2015-01-06 16:00:00+00:00,532.0,947.0,4059.0,6873.0,362.0,5.0,823.0,3454.0,4799.0,88.0,69.0,3824.0,252.0,3281.0,30799.0
138,2015-01-06 17:00:00+00:00,533.0,976.0,4472.0,7100.0,356.0,21.5,820.0,3349.0,4186.0,88.0,69.0,3132.0,267.0,3781.0,30481.0
139,2015-01-06 18:00:00+00:00,528.0,967.0,4553.0,7172.0,351.0,38.0,806.0,3119.0,4368.0,87.0,69.0,2383.0,254.0,3943.0,30147.0
140,2015-01-06 19:00:00+00:00,536.0,968.0,4490.0,7194.0,365.0,54.5,836.0,3009.0,4657.0,87.0,71.0,1586.0,229.0,4028.0,30120.0
141,2015-01-06 20:00:00+00:00,535.0,980.0,4664.0,7264.0,364.0,71.0,937.0,3921.0,4878.0,87.0,70.0,891.0,230.0,3661.0,30747.0
142,2015-01-06 21:00:00+00:00,531.0,970.0,4684.0,7279.0,360.0,87.5,884.0,3834.0,4961.0,87.0,72.0,696.0,231.0,3485.0,29978.0
143,2015-01-06 22:00:00+00:00,528.0,922.0,4728.0,7227.0,352.0,104.0,863.0,2778.0,4959.0,86.0,72.0,669.0,232.0,3276.0,27421.0
144,2015-01-06 23:00:00+00:00,499.0,885.0,4659.0,7996.0,371.0,120.5,728.0,1982.0,6000.0,89.0,55.0,1280.0,219.0,6210.0,30518.0
145,2015-01-07 00:00:00+00:00,502.0,909.0,4199.0,7838.0,370.0,137.0,704.0,1483.0,5995.0,87.0,55.0,1253.0,213.0,5993.0,28484.0
146,2015-01-07 01:00:00+00:00,491.0,905.0,4448.0,8048.0,368.0,482.0,704.0,1003.0,5997.0,87.0,55.0,1231.0,217.0,5529.0,27026.0
147,2015-01-07 02:00:00+00:00,495.0,875.0,4157.0,7837.0,360.0,747.0,692.0,626.0,5998.0,87.0,56.0,1223.0,220.0,5127.0,26248.0
148,2015-01-07 03:00:00+00:00,503.0,912.0,4001.0,7827.0,360.0,845.0,689.0,563.0,6003.0,87.0,55.0,1189.0,219.0,4940.0,25838.0
149,2015-01-07 04:00:00+00:00,505.0,918.0,4219.0,7910.0,360.0,700.0,687.0,610.0,6005.0,88.0,57.0,1142.0,220.0,4735.0,26021.0
